customer_id,segment,city,amount,payment_terms_days,past_due_count,avg_days_past_due,target_mora
CUST000,Empresa,Sevilla,19950.17818694991,30,3,8.13259937292456,1
CUST001,Gobierno,Zaragoza,14784.552267513296,90,14,26.02903389312349,1
CUST002,Retail,Valencia,17221.311793057666,60,14,37.34616529190788,1
CUST003,Empresa,Sevilla,3976.1565191310037,30,2,4.040960234630263,0
CUST004,Retail,Sevilla,12023.327491129367,60,7,40.18499135279617,1
CUST005,Empresa,Barcelona,12317.293140694981,30,0,28.164767672603237,1
CUST006,Gobierno,Valencia,1780.9984572712783,60,12,44.20775888969185,1
CUST007,Gobierno,Valencia,5561.44797189286,60,4,5.066011455090451,0
CUST008,Retail,Madrid,4797.106253531101,60,3,15.322162088458787,1
CUST009,Empresa,Madrid,11432.656207957985,60,2,32.06709510765472,1
CUST010,Retail,Sevilla,12262.77527033759,30,14,29.441318367473514,1
CUST011,Empresa,Barcelona,5931.3658096346135,30,4,6.96846475726915,1
CUST012,Retail,Zaragoza,768.0785723958614,90,6,3.3307498088034593,1
CUST013,Empresa,Zaragoza,6963.62668063438,60,13,24.18010641100561,1
CUST014,Retail,Zaragoza,15523.418112565914,30,12,29.822459844172087,1
CUST015,Empresa,Sevilla,16299.964901595136,30,5,16.395543076731467,1
CUST016,Retail,Madrid,10165.39085835743,30,0,27.829819597337732,1
CUST017,Retail,Madrid,6119.089134717931,60,11,4.940197590071364,1
CUST018,Empresa,Zaragoza,8219.100585486141,60,6,9.036178739191097,1
CUST019,Empresa,Valencia,8760.515748102758,30,10,36.02222302445596,1
CUST020,Empresa,Barcelona,8621.36672845564,60,6,27.928298607796517,1
CUST021,Retail,Sevilla,8012.5936871477115,30,4,38.59851974763792,1
CUST022,Retail,Barcelona,807.1268605692237,90,13,17.183086532315727,1
CUST023,Retail,Madrid,10043.615246333844,30,12,14.042060984872723,1
CUST024,Retail,Valencia,9645.42687063891,90,7,9.868144240064462,1
CUST025,Empresa,Sevilla,3526.644228681608,30,9,6.714948924259355,1
CUST026,Gobierno,Barcelona,14009.696958417706,30,0,38.11998889377106,1
CUST027,Gobierno,Barcelona,9442.291043027602,90,1,5.416313840293488,1
CUST028,Empresa,Madrid,18498.766227292585,30,11,2.7959886227174606,1
CUST029,Retail,Valencia,13797.098417608684,60,2,24.237805263046805,1
CUST030,Empresa,Valencia,3418.2708816270924,30,4,10.584891458524952,0
CUST031,Retail,Zaragoza,16991.531610520156,30,7,20.836720464414384,1
CUST032,Retail,Zaragoza,12529.712113176216,60,2,30.4616505841151,1
CUST033,Gobierno,Barcelona,1425.118553081506,30,2,15.206416511675421,0
CUST034,Empresa,Sevilla,3235.2308913488605,30,8,7.757415198369354,1
CUST035,Retail,Sevilla,19437.071192667736,30,11,23.20117632246482,1
CUST036,Gobierno,Valencia,12268.176156760523,30,9,0.6396981403962382,1
CUST037,Retail,Madrid,12656.571163380848,60,9,6.776958400903846,1
CUST038,Retail,Barcelona,8586.210919893063,90,6,29.94078209400021,1
CUST039,Retail,Sevilla,15876.546912925152,60,10,26.091997140988113,1
CUST040,Retail,Madrid,5748.685295606874,60,1,2.5498345843385155,0
CUST041,Empresa,Zaragoza,7070.19322103463,60,7,2.0111185965303315,1
CUST042,Retail,Zaragoza,7767.752836154309,30,3,1.9583513736765723,0
CUST043,Retail,Barcelona,4922.733783478801,30,5,0.06144585173591566,1
CUST044,Retail,Valencia,16632.235163541824,30,1,33.4605808477383,1
CUST045,Retail,Valencia,15291.0996259746,30,10,0.21258678489196103,1
CUST046,Empresa,Valencia,4395.065630913451,30,5,19.7765002152025,0
CUST047,Retail,Sevilla,16911.83986303531,90,14,32.14277960040972,1
CUST048,Retail,Barcelona,17171.244188046952,60,2,43.27204417203205,1
CUST049,Retail,Zaragoza,12157.16865545809,60,10,13.431844988978312,1
CUST050,Empresa,Valencia,5451.812670600171,60,6,20.507698897657367,1
CUST051,Retail,Sevilla,18511.264722737513,30,5,5.555613536842472,1
CUST052,Retail,Madrid,19777.52164452061,30,10,38.51522057306586,1
CUST053,Retail,Madrid,10249.536568417647,30,0,2.4104253918801373,1
CUST054,Retail,Sevilla,7701.89740042476,60,6,36.826785890017334,1
CUST055,Retail,Barcelona,6750.684051613136,30,12,9.059484933836211,1
CUST056,Retail,Barcelona,18518.764970961307,60,9,20.4276875925714,1
CUST057,Empresa,Sevilla,18672.026790755284,30,0,31.798491863561672,1
CUST058,Empresa,Madrid,19325.436249752314,30,6,9.799803264987878,1
CUST059,Empresa,Valencia,7976.294590766807,30,7,33.345716964235216,1
CUST060,Retail,Madrid,5062.377127308065,30,1,44.251321574987294,1
CUST061,Gobierno,Sevilla,19219.372047897104,60,5,12.84396442231899,1
CUST062,Empresa,Barcelona,4246.483180561206,30,8,41.724366823912426,1
CUST063,Retail,Madrid,19876.51952786402,60,1,31.95946721670811,1
CUST064,Retail,Sevilla,18391.801841112232,60,3,12.348222649248962,1
CUST065,Retail,Sevilla,1499.1402076433424,30,3,16.752242951984577,1
CUST066,Empresa,Sevilla,7598.307019860978,30,13,16.98826537422992,1
CUST067,Empresa,Barcelona,8623.676396130453,30,4,35.21193685388351,1
CUST068,Empresa,Madrid,19931.03151695037,30,9,9.560203936125957,1
CUST069,Retail,Sevilla,3471.4941309653577,30,14,34.82768569022972,1
CUST070,Retail,Zaragoza,9017.603337054697,60,11,12.85220644810496,1
CUST071,Retail,Sevilla,4953.6342201161015,30,2,1.5824251161094423,0
CUST072,Gobierno,Madrid,18470.697876610768,30,9,41.751356786473345,1
CUST073,Empresa,Valencia,15895.036875429867,30,4,26.904849836798462,1
CUST074,Retail,Barcelona,7804.474825106337,30,14,28.74420990464868,1
CUST075,Empresa,Barcelona,16161.058771014063,60,7,10.999987024394345,1
CUST076,Retail,Madrid,6195.489217510897,60,4,34.785941756714415,1
CUST077,Empresa,Sevilla,6292.987149478882,30,12,13.705213431020448,1
CUST078,Empresa,Barcelona,9876.598536467276,90,14,3.028750387627518,1
CUST079,Empresa,Zaragoza,8024.60152869933,30,14,10.473214212012559,1
CUST080,Empresa,Barcelona,12847.865582171891,30,3,17.30968937438034,1
CUST081,Retail,Sevilla,19714.935279812118,60,1,24.890422932642316,1
CUST082,Empresa,Barcelona,9821.584814931504,30,12,41.049490089378146,1
CUST083,Retail,Sevilla,4518.606964303001,60,13,12.118981672322741,1
CUST084,Empresa,Valencia,16360.563638737596,30,1,34.610014147366776,1
CUST085,Empresa,Barcelona,6387.0543485990775,60,12,5.205097879080712,1
CUST086,Empresa,Barcelona,13729.417290444318,30,10,9.643926590554672,1
CUST087,Empresa,Valencia,14213.16572595683,30,2,44.72423057732599,1
CUST088,Empresa,Valencia,15512.372329317053,30,4,41.966483126999684,1
CUST089,Empresa,Valencia,16126.640282503104,60,5,7.940069311100087,1
CUST090,Retail,Valencia,6084.648310153801,30,14,20.793524042544792,1
CUST091,Empresa,Zaragoza,9569.158770921335,60,2,44.22517705878137,1
CUST092,Empresa,Valencia,2723.67261962157,60,11,31.08512095899551,1
CUST093,Empresa,Zaragoza,7547.935061146908,30,11,39.28565038662533,1
CUST094,Gobierno,Valencia,14441.903975394434,30,3,5.432793376667018,1
CUST095,Empresa,Zaragoza,1897.4106833002986,30,13,43.8588767972979,1
CUST096,Empresa,Valencia,6668.545369019973,90,7,43.30581875204841,1
CUST097,Empresa,Madrid,7315.1740531131945,60,0,43.07660255071749,1
CUST098,Empresa,Madrid,16852.758302623315,30,14,5.193999459311056,1
CUST099,Gobierno,Barcelona,4366.14370301025,30,5,27.742080714364505,1
CUST100,Retail,Madrid,4644.931181712169,30,10,21.883922922058957,1
CUST101,Empresa,Madrid,15398.651509833067,90,8,30.541168347449652,1
CUST102,Empresa,Valencia,11445.151704513524,90,9,29.560088113202173,1
CUST103,Retail,Sevilla,3754.0356996368096,30,6,15.299788496064213,1
CUST104,Empresa,Barcelona,1681.3229493009583,30,6,43.31755713177338,1
CUST105,Empresa,Barcelona,8182.572025600165,30,14,40.10861584450108,1
CUST106,Retail,Sevilla,8327.647405830528,90,5,1.4279759507078498,1
CUST107,Gobierno,Madrid,8655.96396977362,60,0,18.364135382453327,1
CUST108,Retail,Zaragoza,19466.552163730532,90,0,40.73469389198553,1
CUST109,Retail,Zaragoza,11238.834093824447,60,9,13.589499268670842,1
CUST110,Empresa,Madrid,12701.927659977988,30,1,17.482103509111393,1
CUST111,Retail,Madrid,5698.680398006172,60,1,26.853892072022653,1
CUST112,Retail,Sevilla,7011.238981213496,30,3,8.987379631515847,0
CUST113,Retail,Madrid,15674.96202722772,90,4,32.961746179410504,1
CUST114,Empresa,Barcelona,13749.859510595434,60,4,38.63642444333134,1
CUST115,Retail,Valencia,14628.274019605493,30,9,15.274813739001804,1
CUST116,Retail,Sevilla,19018.06921126248,30,11,16.850192231856568,1
CUST117,Retail,Madrid,18476.540517079924,30,3,42.58748022373767,1
